,Unnamed: 0,uid,player_idx,launch_id,mech,period,contr_nrmd,contr_oth_nrmd,pool_nrmd,action,offer,reward,pool,others_action_mean,others_offer_mean,completed,cluster
0,0,10726889_p0,0,10726889,Mixed Baseline Exp 1,1,0.8600051834418863,0.7533378738676988,1.0,43.0,49.999698638916016,6.999698638916016,200.0,37.66666666666666,49.999698638916016,True,3
1,1,10726889_p0,0,10726889,Mixed Baseline Exp 1,2,0.7609800335053694,0.739383951296183,1.0,40.0,52.56379699707031,12.563796997070312,200.0,36.66666666666666,49.14506530761719,True,3
2,2,10726889_p0,0,10726889,Mixed Baseline Exp 1,3,0.8322624068630651,0.6414844031689296,1.0,43.0,51.66639709472656,8.666397094726562,200.0,32.666666666666664,49.44419860839844,True,3
3,3,10726889_p0,0,10726889,Mixed Baseline Exp 1,4,0.8945687274761356,0.7194898257461607,0.9870050048828124,49.0,54.77499771118164,5.774997711181641,197.4010009765625,35.333333333333336,47.54166666666666,True,3
4,4,10726889_p0,0,10726889,Mixed Baseline Exp 1,5,0.6005730340841471,0.5059597802050447,1.0,34.0,56.61259841918945,22.612598419189453,200.0,26.33333333333333,47.79543177286784,True,3
5,5,10726889_p0,0,10726889,Mixed Baseline Exp 1,6,0.5737234552446068,0.806971150897918,0.7910055541992187,25.0,43.57500076293945,18.575000762939453,158.20111083984375,31.666666666666668,38.20833269755045,True,3
6,6,10726889_p0,0,10726889,Mixed Baseline Exp 1,7,0.1818181818181818,0.6926671417562651,0.8400054931640625,7.0,38.5,31.5,168.0010986328125,31.0,43.166665395100914,True,3
7,7,10726889_p0,0,10726889,Mixed Baseline Exp 1,8,0.8482143001592891,0.9098778275809862,0.7000054931640625,19.0,22.39999961853028,3.399999618530273,140.0010986328125,35.333333333333336,39.19999885559082,True,3
8,8,10726889_p0,0,10726889,Mixed Baseline Exp 1,9,0.739161352208539,0.792570485818686,0.8750054931640625,26.0,35.17499923706055,9.174999237060549,175.0010986328125,37.333333333333336,46.608331044514976,True,3
9,9,10726889_p0,0,10726889,Mixed Baseline Exp 1,10,0.7792208072962595,0.4469559133672423,0.9660054779052736,33.0,42.34999847412109,9.349998474121094,193.2010955810547,24.33333333333333,50.28333282470703,True,3
10,10,10726889_p0,0,10726889,Mixed Baseline Exp 1,11,0.6002401290237845,0.6174738107068014,0.7420054626464844,25.0,41.64999771118164,16.64999771118164,148.40109252929688,21.33333333333333,35.58333206176758,True,3
11,11,10726889_p0,0,10726889,Mixed Baseline Exp 1,12,0.5139833592701986,0.6243032560080798,0.623005485534668,17.0,33.07500076293945,16.075000762939453,124.6010971069336,23.33333333333333,30.50833225250244,True,3
12,12,10726889_p0,0,10726889,Mixed Baseline Exp 1,13,0.7373271889400922,0.9600997731858024,0.6090054702758789,20.0,27.125,7.125,121.80109405517578,30.0,31.55833339691162,True,3
13,13,10726889_p0,0,10726889,Mixed Baseline Exp 1,14,0.6917293233082706,0.6183868817242625,0.7700054931640625,23.0,33.25,10.25,154.0010986328125,26.0,40.24999872843424,True,3
14,14,10726889_p0,0,10726889,Mixed Baseline Exp 1,15,0.5921540001578963,0.8651574786595363,0.7070054626464843,20.0,33.77499771118164,13.77499771118164,141.40109252929688,31.33333333333333,35.87499872843424,True,3
15,15,10726889_p0,0,10726889,Mixed Baseline Exp 1,16,0.7363770084886282,0.6965459514336838,0.7980054473876953,25.0,33.95000076293945,8.950000762939453,159.60108947753906,30.0,41.88333257039388,True,3
16,16,10726889_p0,0,10726889,Mixed Baseline Exp 1,17,0.6644518272425249,0.5825427061974894,0.8050054168701172,25.0,37.625,12.625,161.00108337402344,24.0,41.12499872843424,True,3
17,17,10726889_p0,0,10726889,Mixed Baseline Exp 1,18,0.7251631938074321,0.7259365784290855,0.6790054321289063,25.0,34.474998474121094,9.474998474121094,135.80108642578125,24.666666666666668,33.77499961853027,True,3
18,18,10726889_p0,0,10726889,Mixed Baseline Exp 1,19,0.6317300651264381,0.7250217497835573,0.6930054473876953,22.0,34.82500076293945,12.825000762939451,138.60108947753906,26.0,34.59166590372721,True,3
19,19,10726889_p0,0,10726889,Mixed Baseline Exp 1,20,0.3039513889267331,0.38331824681788,0.7000054168701172,10.0,32.89999771118164,22.89999771118164,140.00108337402344,11.666666666666666,35.699998219807945,True,3
20,20,10726889_p0,0,10726889,Mixed Baseline Exp 1,21,0.9411764705882352,0.9421663228092008,0.3150054168701172,14.0,14.875,0.875,63.00108337402344,15.333333333333334,16.041666666666668,True,3
21,21,10726889_p0,0,10726889,Mixed Baseline Exp 1,22,0.8374384551189575,0.821674140319003,0.4200054168701171,17.0,20.299999237060547,3.299999237060547,84.00108337402344,17.0,21.23333295186361,True,3
22,22,10726889_p0,0,10726889,Mixed Baseline Exp 1,23,0.8403361613918324,0.8146258554085583,0.4760054016113281,20.0,23.799999237060547,3.799999237060547,95.20108032226562,19.33333333333333,23.799999872843426,True,3
23,23,10726889_p0,0,10726889,Mixed Baseline Exp 1,24,0.7233273155850805,0.5661241758444661,0.5460054016113282,20.0,27.64999961853028,7.649999618530273,109.20108032226562,15.333333333333334,27.183333079020183,True,3
24,24,10726889_p0,0,10726889,Mixed Baseline Exp 1,25,0.7045009995104348,0.7495321966306491,0.4620054244995117,18.0,25.549999237060547,7.549999237060547,92.40108489990234,17.333333333333332,22.28333282470703,True,3
25,25,10726889_p0,0,10726889,Mixed Baseline Exp 1,26,0.7645875720993178,0.4031737810157367,0.4900054550170897,19.0,24.849998474121094,5.849998474121094,98.00109100341795,9.0,24.38333257039388,True,3
26,26,10726889_p0,0,10726889,Mixed Baseline Exp 1,27,0.8430913198307346,0.8399343760235398,0.3220054626464844,18.0,21.350000381469727,3.3500003814697266,64.40109252929688,12.0,14.34999974568685,True,3
27,27,10726889_p0,0,10726889,Mixed Baseline Exp 1,28,0.7256236078733278,0.332225930463008,0.3780054473876953,16.0,22.049999237060547,6.049999237060547,75.60108947753906,5.0,17.849999109903973,True,3
28,28,10726889_p0,0,10726889,Mixed Baseline Exp 1,29,0.5413533834586466,0.4915514852167142,0.217005443572998,9.0,16.625,7.625,43.40108871459961,2.6666666666666665,8.924999554951986,True,3
29,29,10726889_p0,0,10726889,Mixed Baseline Exp 1,30,0.2156334320493397,0.664332851388114,0.1190054512023926,2.0,9.274999618530272,7.274999618530273,23.80109024047852,3.333333333333333,4.841666539510091,True,3
30,30,10726889_p0,0,10726889,Mixed Baseline Exp 1,31,0.5714285714285714,0.8888889033057349,0.0840054512023925,2.0,3.5,1.5,16.801090240478516,4.0,4.433333237965901,True,3
31,31,10726889_p0,0,10726889,Mixed Baseline Exp 1,32,0.7792207985226718,0.6901870479927874,0.0980054569244384,3.0,3.849999904632568,0.8499999046325684,19.60109138488769,3.6666666666666665,5.2499996821085615,True,3
32,32,10726889_p0,0,10726889,Mixed Baseline Exp 1,33,0.439560467199837,0.8573126374318188,0.0980054664611816,2.0,4.549999713897705,2.549999713897705,19.601093292236328,4.333333333333333,5.016666571299235,True,3
33,33,10726889_p0,0,10726889,Mixed Baseline Exp 1,34,0.0,0.8647014404016655,0.105005464553833,0.0,4.025000095367432,4.025000095367432,21.0010929107666,5.0,5.6583333015441895,True,3
34,34,10726889_p0,0,10726889,Mixed Baseline Exp 1,35,0.0,0.6566273410967776,0.105005464553833,0.0,2.625,2.625,21.0010929107666,4.333333333333333,6.12499984105428,True,3
35,35,10726889_p0,0,10726889,Mixed Baseline Exp 1,36,0.0,0.7298054483782536,0.0910054588317871,0.0,2.2749998569488525,2.2749998569488525,18.201091766357425,4.333333333333333,5.308333237965901,True,3
36,36,10726889_p0,0,10726889,Mixed Baseline Exp 1,37,0.0,0.8418502698971646,0.0910054492950439,0.0,2.2749998569488525,2.2749998569488525,18.20108985900879,4.666666666666667,5.308333237965901,True,3
37,37,10726889_p0,0,10726889,Mixed Baseline Exp 1,38,0.0,0.8612440600773047,0.0980054473876953,0.0,2.450000047683716,2.450000047683716,19.601089477539062,5.0,5.716666380564372,True,3
38,38,10726889_p0,0,10726889,Mixed Baseline Exp 1,39,0.0,0.4558404669366561,0.1050054550170898,0.0,2.625,2.625,21.00109100341797,2.6666666666666665,6.12499984105428,True,3
39,39,10726889_p0,0,10726889,Mixed Baseline Exp 1,40,0.0,0.5578231239557168,0.0560054540634155,0.0,1.399999976158142,1.399999976158142,11.201090812683104,2.333333333333333,3.2666666905085244,True,3
40,40,10726889_p1,1,10726889,Mixed Baseline Exp 1,1,0.7000042190806051,0.8066715286547925,1.0,35.0,49.999698638916016,14.999698638916016,200.0,40.333333333333336,49.999698638916016,True,1
41,41,10726889_p1,1,10726889,Mixed Baseline Exp 1,2,0.674597410016772,0.7681781591257155,1.0,32.0,47.43569946289063,15.435699462890623,200.0,39.333333333333336,50.85443115234375,True,1
42,42,10726889_p1,1,10726889,Mixed Baseline Exp 1,3,0.561153912779443,0.7318539011968038,1.0,26.0,46.333099365234375,20.33309936523437,200.0,38.333333333333336,51.22196451822917,True,1
43,43,10726889_p1,1,10726889,Mixed Baseline Exp 1,4,0.6297376093294461,0.8077668651283906,0.9870050048828124,27.0,42.875,15.875,197.4010009765625,42.66666666666666,51.50833257039388,True,1
44,44,10726889_p1,1,10726889,Mixed Baseline Exp 1,5,0.0,0.706150791566427,1.0,0.0,42.41909790039063,42.41909790039063,200.0,37.66666666666666,52.526598612467446,True,1
45,45,10726889_p1,1,10726889,Mixed Baseline Exp 1,6,0.7079646154269061,0.7622240975038181,0.7910055541992187,14.0,19.77499961853028,5.774999618530273,158.20111083984375,35.333333333333336,46.14166641235352,True,1
46,46,10726889_p1,1,10726889,Mixed Baseline Exp 1,7,0.5194805323484478,0.5801130249128431,0.8400054931640625,16.0,30.799999237060547,14.799999237060549,168.0010986328125,28.0,45.73333231608073,True,1
47,47,10726889_p1,1,10726889,Mixed Baseline Exp 1,8,0.9756097949998886,0.8674126626341198,0.7000054931640625,28.0,28.69999885559082,0.6999988555908203,140.0010986328125,32.333333333333336,37.09999910990397,True,1
48,48,10726889_p1,1,10726889,Mixed Baseline Exp 1,9,0.6751055100694215,0.813922433198392,0.8750054931640625,28.0,41.47499847412109,13.474998474121094,175.0010986328125,36.66666666666666,44.508331298828125,True,1
49,49,10726889_p1,1,10726889,Mixed Baseline Exp 1,10,0.0,0.7066961824659955,0.9660054779052736,0.0,43.75,43.75,193.2010955810547,35.333333333333336,49.81666564941406,True,1
50,50,10726889_p1,1,10726889,Mixed Baseline Exp 1,11,0.970350444222029,0.4941037056407198,0.7420054626464844,18.0,18.549999237060547,0.5499992370605469,148.40109252929688,23.666666666666668,43.28333155314128,True,1
51,51,10726889_p1,1,10726889,Mixed Baseline Exp 1,12,0.9937888467861836,0.4643680935027514,0.623005485534668,28.0,28.174999237060547,0.1749992370605468,124.6010971069336,19.666666666666668,32.141666094462074,True,1
52,52,10726889_p1,1,10726889,Mixed Baseline Exp 1,13,0.97631010064995,0.8804388026158497,0.6090054702758789,34.0,34.82500076293945,0.8250007629394531,121.80109405517578,25.33333333333333,28.991666475931805,True,1
53,53,10726889_p1,1,10726889,Mixed Baseline Exp 1,14,0.487804886693742,0.6863616939291054,0.7700054931640625,21.0,43.04999923706055,22.049999237060547,154.0010986328125,26.666666666666668,36.98333231608073,True,1
54,54,10726889_p1,1,10726889,Mixed Baseline Exp 1,15,0.9884169884169884,0.7330698159065054,0.7070054626464843,32.0,32.375,0.375,141.40109252929688,27.33333333333333,36.34166463216146,True,1
55,55,10726889_p1,1,10726889,Mixed Baseline Exp 1,16,0.7083825520875087,0.7058774369007236,0.7980054473876953,30.0,42.34999847412109,12.349998474121094,159.60108947753906,28.33333333333333,39.083333333333336,True,1
56,56,10726889_p1,1,10726889,Mixed Baseline Exp 1,17,0.6322188449848024,0.5932870336167303,0.8050054168701172,26.0,41.125,15.125,161.00108337402344,23.666666666666668,39.95833206176758,True,1
57,57,10726889_p1,1,10726889,Mixed Baseline Exp 1,18,0.9950248972038024,0.6359826772969622,0.6790054321289063,35.0,35.17499923706055,0.1749992370605468,135.80108642578125,21.33333333333333,33.54166603088379,True,1
58,58,10726889_p1,1,10726889,Mixed Baseline Exp 1,19,0.980274937288932,0.6088401257293925,0.6930054473876953,41.0,41.82500076293945,0.8250007629394531,138.60108947753906,19.666666666666668,32.25833257039388,True,1
59,59,10726889_p1,1,10726889,Mixed Baseline Exp 1,20,0.0,0.4846353764601244,0.7000054168701172,0.0,46.19999694824219,46.19999694824219,140.00108337402344,15.0,31.26666514078776,True,1
60,60,10726889_p1,1,10726889,Mixed Baseline Exp 1,21,0.8888888888888888,0.9595955167089828,0.3150054168701172,7.0,7.875,0.875,63.00108337402344,17.666666666666668,18.375,True,1
61,61,10726889_p1,1,10726889,Mixed Baseline Exp 1,22,0.9740259981533396,0.7761449593075423,0.4200054168701171,15.0,15.399999618530272,0.3999996185302734,84.00108337402344,17.666666666666668,22.866666158040363,True,1
62,62,10726889_p1,1,10726889,Mixed Baseline Exp 1,23,0.8928571580624096,0.7971188565183659,0.4760054016113281,20.0,22.39999961853028,2.399999618530273,95.20108032226562,19.33333333333333,24.26666641235352,True,1
63,63,10726889_p1,1,10726889,Mixed Baseline Exp 1,24,0.7233273155850805,0.5661241758444661,0.5460054016113282,20.0,27.64999961853028,7.649999618530273,109.20108032226562,15.333333333333334,27.183333079020183,True,1
64,64,10726889_p1,1,10726889,Mixed Baseline Exp 1,25,0.9784736104311592,0.6582079929904077,0.4620054244995117,25.0,25.549999237060547,0.5499992370605469,92.40108489990234,15.0,22.28333282470703,True,1
65,65,10726889_p1,1,10726889,Mixed Baseline Exp 1,26,0.0,0.6580363050488427,0.4900054550170897,0.0,29.75,29.75,98.00109100341795,15.333333333333334,22.74999872843425,True,1
66,66,10726889_p1,1,10726889,Mixed Baseline Exp 1,27,0.9937887963291714,0.789701883857394,0.3220054626464844,8.0,8.050000190734863,0.0500001907348632,64.40109252929688,15.333333333333334,18.78333314259847,True,1
67,67,10726889_p1,1,10726889,Mixed Baseline Exp 1,28,0.996677791389024,0.2418745359577759,0.3780054473876953,15.0,15.049999237060549,0.0499992370605468,75.60108947753906,5.333333333333333,20.183332443237305,True,1
68,68,10726889_p1,1,10726889,Mixed Baseline Exp 1,29,0.0,0.6720026130362631,0.217005443572998,0.0,15.924999237060549,15.924999237060549,43.40108871459961,5.666666666666667,9.15833314259847,True,1
